match_id,team,total_xG,avg_shot_xG,shot_count,goals,conversion_rate,h_team,a_team,team_name
22224,Away,3.634,0.201888889,18,2,0.111111111,West Ham,Fulham,Fulham
22224,Home,1.451,0.096733333,15,0,0,West Ham,Fulham,West Ham
22225,Away,2.128,0.152,14,1,0.071428571,Aston Villa,Bournemouth,Bournemouth
22225,Home,2.94,0.21,14,3,0.214285714,Aston Villa,Bournemouth,Aston Villa
22226,Away,1.545,0.118846154,13,2,0.153846154,Brighton,Chelsea,Chelsea
22226,Home,1.324,0.120363636,11,1,0.090909091,Brighton,Chelsea,Brighton
22227,Away,1.346,0.2692,5,1,0.2,Crystal Palace,West Ham,West Ham
22227,Home,3.861,0.203210526,19,4,0.210526316,Crystal Palace,West Ham,Crystal Palace
22228,Away,1.288,0.161,8,0,0,Everton,Nottingham Forest,Nottingham Forest
22228,Home,0.474,0.067714286,7,2,0.285714286,Everton,Nottingham Forest,Everton
22229,Away,1.026,0.073285714,14,3,0.214285714,Fulham,Liverpool,Liverpool
22229,Home,0.849,0.07075,12,1,0.083333333,Fulham,Liverpool,Fulham
22230,Away,3.78,0.18,21,5,0.238095238,Luton,Brentford,Brentford
22230,Home,0.498,0.083,6,1,0.166666667,Luton,Brentford,Luton
22231,Away,2.283,0.108714286,21,2,0.095238095,Manchester United,Newcastle United,Newcastle United
22231,Home,1.497,0.088058824,17,3,0.176470588,Manchester United,Newcastle United,Manchester United
22232,Away,2.43,0.151875,16,4,0.25,Sheffield United,Burnley,Burnley
22232,Home,1.983,0.110166667,18,1,0.055555556,Sheffield United,Burnley,Sheffield United
22233,Away,2.703,0.337875,8,2,0.25,Tottenham,Manchester City,Manchester City
22233,Home,1.842,0.1842,10,0,0,Tottenham,Manchester City,Tottenham
22234,Away,1.661,0.069208333,24,2,0.083333333,Wolverhampton Wanderers,Arsenal,Arsenal
22234,Home,0.164,0.0328,5,0,0,Wolverhampton Wanderers,Arsenal,Wolverhampton Wanderers
22235,Away,1.361,0.104692308,13,0,0,Bournemouth,Brighton,Brighton
22235,Home,2.586,0.1724,15,3,0.2,Bournemouth,Brighton,Bournemouth
